#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 10 25 10 48  90  1.5  1.5    MM    MM    MM  MM 1013.6  15.2  18.2    MM   MM   MM    MM
2024 10 25 10 42  MM  0.0  1.0    MM    MM    MM  MM 1013.6  15.3  18.2    MM   MM   MM    MM
2024 10 25 10 36  MM  0.0  2.1    MM    MM    MM  MM 1013.7  15.3  18.2    MM   MM   MM    MM
2024 10 25 10 30 160  1.5  2.1    MM    MM    MM  MM 1013.7  15.3  18.1    MM   MM   MM    MM
2024 10 25 10 24 160  1.5  1.5    MM    MM    MM  MM 1013.8  15.5  18.1    MM   MM   MM    MM
2024 10 25 10 18  MM  0.0  0.5    MM    MM    MM  MM 1013.8  15.5  18.1    MM   MM   MM    MM
2024 10 25 10 12  MM  0.0  1.0    MM    MM    MM  MM 1013.8  15.5  18.2    MM   MM   MM    MM
2024 10 25 10 06  70  1.0  1.0    MM    MM    MM  MM 1013.8  15.4  18.2    MM   MM   MM    MM
2024 10 25 10 00  50  1.0  1.5    MM    MM    MM  MM 1013.8  15.4  18.2    MM   MM   MM    MM
2024 10 25 09 54  50  1.0  1.5    MM    MM    MM  MM 1013.8  15.4  18.3    MM   MM   MM    MM
2024 10 25 09 48  90  1.0  1.5    MM    MM    MM  MM 1013.8  15.2  18.4    MM   MM   MM    MM
2024 10 25 09 42  90  1.5  1.5    MM    MM    MM  MM 1013.7  15.1  18.5    MM   MM   MM    MM
2024 10 25 09 36 100  1.0  1.5    MM    MM    MM  MM 1013.7  15.3  18.4    MM   MM   MM    MM
2024 10 25 09 30 130  1.5  1.5    MM    MM    MM  MM 1013.7  15.6  18.2    MM   MM   MM    MM
2024 10 25 09 24 130  0.5  1.5    MM    MM    MM  MM 1013.6  15.6  18.4    MM   MM   MM    MM
2024 10 25 09 18 170  1.5  2.1    MM    MM    MM  MM 1013.6  15.7  18.1    MM   MM   MM    MM
2024 10 25 04 18 150  0.5  1.0    MM    MM    MM  MM 1012.6  16.5  19.0    MM   MM   MM    MM
2024 10 25 04 12 150  0.5  1.0    MM    MM    MM  MM 1012.6  16.4  18.9    MM   MM   MM    MM
2024 10 25 04 06  MM  0.0  1.0    MM    MM    MM  MM 1012.6  16.2  19.0    MM   MM   MM    MM
2024 10 25 04 00 130  0.5  1.0    MM    MM    MM  MM 1012.6  16.3  19.1    MM   MM +0.9    MM
2024 10 25 03 54  MM  0.0  1.0    MM    MM    MM  MM 1012.6  16.4  19.1    MM   MM   MM    MM
2024 10 25 03 48  MM  0.0  0.5    MM    MM    MM  MM 1012.6  16.5  19.0    MM   MM   MM    MM
2024 10 25 03 42  10  0.5  1.0    MM    MM    MM  MM 1012.6  16.9  19.0    MM   MM   MM    MM
2024 10 25 03 36  20  0.5  1.0    MM    MM    MM  MM 1012.5  17.0  19.0    MM   MM   MM    MM
2024 10 25 03 30  20  1.0  1.0    MM    MM    MM  MM 1012.6  17.1  18.9    MM   MM   MM    MM
2024 10 25 03 24  10  1.0  1.0    MM    MM    MM  MM 1012.5  17.1  18.8    MM   MM   MM    MM
2024 10 25 03 18  MM  0.0  0.5    MM    MM    MM  MM 1012.5  16.8  18.6    MM   MM   MM    MM
2024 10 25 03 12  MM  0.0  0.0    MM    MM    MM  MM 1012.4  16.6  18.4    MM   MM   MM    MM
